run_name,method,shots,seed,rank,category,status,schedule,trainable_params,best_acc,final_acc,metric_rows,stages,artifact_dir,metrics_path,confusion_path,per_class_path,failures_path,log_path
m4_8shot,m4,8-shot,0,,main/m4,completed,10 epochs,147456,43.0800,43.0800,10,single_stage,outputs\main\m4\m4_8shot,outputs\main\m4\m4_8shot\m4_8shot_metrics.csv,outputs\main\m4\m4_8shot\m4_8shot_confusion.csv,outputs\main\m4\m4_8shot\m4_8shot_per_class.csv,outputs\main\m4\m4_8shot\m4_8shot_failures.csv,logs\m4_8shot.log
m4_8shot_r16_a32_20ep,m4,8-shot,0,16,validation/multi_seed,completed,20 epochs,589824,73.8480,73.8480,20,single_stage,outputs\validation\multi_seed\m4_8shot_r16_a32_20ep,outputs\validation\multi_seed\m4_8shot_r16_a32_20ep\m4_8shot_r16_a32_20ep_metrics.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_20ep\m4_8shot_r16_a32_20ep_confusion.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_20ep\m4_8shot_r16_a32_20ep_per_class.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_20ep\m4_8shot_r16_a32_20ep_failures.csv,logs\m4_8shot_r16_a32_20ep.log
m4_8shot_r16_a32_seed1_20ep,m4,8-shot,1,16,validation/multi_seed,completed,20 epochs,589824,73.4996,73.2067,20,single_stage,outputs\validation\multi_seed\m4_8shot_r16_a32_seed1_20ep,outputs\validation\multi_seed\m4_8shot_r16_a32_seed1_20ep\m4_8shot_r16_a32_seed1_20ep_metrics.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed1_20ep\m4_8shot_r16_a32_seed1_20ep_confusion.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed1_20ep\m4_8shot_r16_a32_seed1_20ep_per_class.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed1_20ep\m4_8shot_r16_a32_seed1_20ep_failures.csv,logs\m4_8shot_r16_a32_seed1_20ep.log
m4_8shot_r16_a32_seed2_20ep,m4,8-shot,2,16,validation/multi_seed,completed,20 epochs,589824,72.8266,72.7712,20,single_stage,outputs\validation\multi_seed\m4_8shot_r16_a32_seed2_20ep,outputs\validation\multi_seed\m4_8shot_r16_a32_seed2_20ep\m4_8shot_r16_a32_seed2_20ep_metrics.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed2_20ep\m4_8shot_r16_a32_seed2_20ep_confusion.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed2_20ep\m4_8shot_r16_a32_seed2_20ep_per_class.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed2_20ep\m4_8shot_r16_a32_seed2_20ep_failures.csv,logs\m4_8shot_r16_a32_seed2_20ep.log
m4_8shot_r16_a32_seed3_20ep,m4,8-shot,3,16,validation/multi_seed,completed,20 epochs,589824,72.8741,72.8741,20,single_stage,outputs\validation\multi_seed\m4_8shot_r16_a32_seed3_20ep,outputs\validation\multi_seed\m4_8shot_r16_a32_seed3_20ep\m4_8shot_r16_a32_seed3_20ep_metrics.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed3_20ep\m4_8shot_r16_a32_seed3_20ep_confusion.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed3_20ep\m4_8shot_r16_a32_seed3_20ep_per_class.csv,outputs\validation\multi_seed\m4_8shot_r16_a32_seed3_20ep\m4_8shot_r16_a32_seed3_20ep_failures.csv,logs\m4_8shot_r16_a32_seed3_20ep.log
m4_8shot_r1_a2_20ep,m4,8-shot,0,1,ablations/m4_rank,completed,20 epochs,36864,44.3072,44.3072,20,single_stage,outputs\ablations\m4_rank\m4_8shot_r1_a2_20ep,outputs\ablations\m4_rank\m4_8shot_r1_a2_20ep\m4_8shot_r1_a2_20ep_metrics.csv,outputs\ablations\m4_rank\m4_8shot_r1_a2_20ep\m4_8shot_r1_a2_20ep_confusion.csv,outputs\ablations\m4_rank\m4_8shot_r1_a2_20ep\m4_8shot_r1_a2_20ep_per_class.csv,outputs\ablations\m4_rank\m4_8shot_r1_a2_20ep\m4_8shot_r1_a2_20ep_failures.csv,logs\m4_8shot_r1_a2_20ep.log
m4_8shot_r4_a8_20ep,m4,8-shot,0,4,ablations/m4_rank,completed,20 epochs,147456,65.9937,65.9937,20,single_stage,outputs\ablations\m4_rank\m4_8shot_r4_a8_20ep,outputs\ablations\m4_rank\m4_8shot_r4_a8_20ep\m4_8shot_r4_a8_20ep_metrics.csv,outputs\ablations\m4_rank\m4_8shot_r4_a8_20ep\m4_8shot_r4_a8_20ep_confusion.csv,outputs\ablations\m4_rank\m4_8shot_r4_a8_20ep\m4_8shot_r4_a8_20ep_per_class.csv,outputs\ablations\m4_rank\m4_8shot_r4_a8_20ep\m4_8shot_r4_a8_20ep_failures.csv,logs\m4_8shot_r4_a8_20ep.log
m4_8shot_r8_a16_20ep,m4,8-shot,0,8,ablations/m4_rank,completed,20 epochs,294912,71.5598,71.5598,20,single_stage,outputs\ablations\m4_rank\m4_8shot_r8_a16_20ep,outputs\ablations\m4_rank\m4_8shot_r8_a16_20ep\m4_8shot_r8_a16_20ep_metrics.csv,outputs\ablations\m4_rank\m4_8shot_r8_a16_20ep\m4_8shot_r8_a16_20ep_confusion.csv,outputs\ablations\m4_rank\m4_8shot_r8_a16_20ep\m4_8shot_r8_a16_20ep_per_class.csv,outputs\ablations\m4_rank\m4_8shot_r8_a16_20ep\m4_8shot_r8_a16_20ep_failures.csv,logs\m4_8shot_r8_a16_20ep.log
m4_8shot_r8_a16_lr1e-5_20ep,m4,8-shot,0,8,ablations/m4_learning_rate,completed,20 epochs,294912,30.3405,30.3405,20,single_stage,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr1e-5_20ep,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr1e-5_20ep\m4_8shot_r8_a16_lr1e-5_20ep_metrics.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr1e-5_20ep\m4_8shot_r8_a16_lr1e-5_20ep_confusion.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr1e-5_20ep\m4_8shot_r8_a16_lr1e-5_20ep_per_class.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr1e-5_20ep\m4_8shot_r8_a16_lr1e-5_20ep_failures.csv,logs\m4_8shot_r8_a16_lr1e-5_20ep.log
m4_8shot_r8_a16_lr3e-5_20ep,m4,8-shot,0,8,ablations/m4_learning_rate,completed,20 epochs,294912,42.5732,42.5732,20,single_stage,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr3e-5_20ep,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr3e-5_20ep\m4_8shot_r8_a16_lr3e-5_20ep_metrics.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr3e-5_20ep\m4_8shot_r8_a16_lr3e-5_20ep_confusion.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr3e-5_20ep\m4_8shot_r8_a16_lr3e-5_20ep_per_class.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr3e-5_20ep\m4_8shot_r8_a16_lr3e-5_20ep_failures.csv,logs\m4_8shot_r8_a16_lr3e-5_20ep.log
m4_8shot_r8_a16_lr5e-5_20ep,m4,8-shot,0,8,ablations/m4_learning_rate,completed,20 epochs,294912,57.8226,57.8226,20,single_stage,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr5e-5_20ep,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr5e-5_20ep\m4_8shot_r8_a16_lr5e-5_20ep_metrics.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr5e-5_20ep\m4_8shot_r8_a16_lr5e-5_20ep_confusion.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr5e-5_20ep\m4_8shot_r8_a16_lr5e-5_20ep_per_class.csv,outputs\ablations\m4_learning_rate\m4_8shot_r8_a16_lr5e-5_20ep\m4_8shot_r8_a16_lr5e-5_20ep_failures.csv,logs\m4_8shot_r8_a16_lr5e-5_20ep.log
m4_full,m4,full,0,,main/m4,completed,20 epochs,147456,97.2526,95.6295,20,single_stage,outputs\main\m4\m4_full,outputs\main\m4\m4_full\m4_full_metrics.csv,outputs\main\m4\m4_full\m4_full_confusion.csv,outputs\main\m4\m4_full\m4_full_per_class.csv,outputs\main\m4\m4_full\m4_full_failures.csv,logs\m4_full.log
